player.name,team.name,label,pass.recipient.name,date,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,penalty_area_entry
G. Efe Egbedi,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",A. Drexel,"August 16, 2024 at 2:00:00 PM GMT+2",94.0,13.0,95.0,44.0,,,True
G. Efe Egbedi,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",,"August 16, 2024 at 2:00:00 PM GMT+2",87.0,15.0,,,97.0,27.0,True
K. Pedersen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Kruse,"August 16, 2024 at 2:00:00 PM GMT+2",72.0,83.0,96.0,75.0,,,True
A. Skovgaard,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Engsted,"August 16, 2024 at 2:00:00 PM GMT+2",92.0,12.0,89.0,71.0,,,True
R. Zwinge,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",S. Stefánsson,"August 16, 2024 at 2:00:00 PM GMT+2",78.0,3.0,86.0,30.0,,,True
M. Svane,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",,"August 16, 2024 at 2:00:00 PM GMT+2",75.0,13.0,,,91.0,21.0,True
E. Larsen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",C. Storch,"August 16, 2024 at 2:00:00 PM GMT+2",78.0,78.0,91.0,46.0,,,True
O. Haugstrup,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Svane,"August 16, 2024 at 2:00:00 PM GMT+2",71.0,46.0,84.0,76.0,,,True
M. Svane,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",A. Lund Jørgensen,"August 16, 2024 at 2:00:00 PM GMT+2",75.0,5.0,86.0,36.0,,,True
K. Pedersen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Kruse,"August 16, 2024 at 2:00:00 PM GMT+2",80.0,74.0,91.0,57.0,,,True
E. Larsen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",K. Pedersen,"August 16, 2024 at 2:00:00 PM GMT+2",85.0,87.0,91.0,59.0,,,True
P. Nielsen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Kruse,"August 16, 2024 at 2:00:00 PM GMT+2",75.0,42.0,86.0,73.0,,,True
R. Düring,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",R. Zwinge,"August 16, 2024 at 2:00:00 PM GMT+2",81.0,92.0,93.0,68.0,,,True
F. Emmery,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Engsted,"August 16, 2024 at 2:00:00 PM GMT+2",94.0,17.0,89.0,66.0,,,True
M. Engsted,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Svane,"August 16, 2024 at 2:00:00 PM GMT+2",74.0,6.0,92.0,19.0,,,True
M. Svane,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",,"August 16, 2024 at 2:00:00 PM GMT+2",75.0,29.0,100.0,57.0,,,True
L. Falk Hansen,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",F. Emmery,"August 16, 2024 at 2:00:00 PM GMT+2",69.0,51.0,88.0,31.0,,,True
K. Pedersen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",C. Storch,"August 16, 2024 at 2:00:00 PM GMT+2",83.0,92.0,92.0,56.0,,,True
B. Baldursson,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",V. De Paoli,"August 16, 2024 at 2:00:00 PM GMT+2",38.0,61.0,91.0,45.0,,,True
S. Schøt,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",W. Rygaard,"August 16, 2024 at 2:00:00 PM GMT+2",84.0,83.0,88.0,36.0,,,True
M. Svane,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",C. Storch,"August 16, 2024 at 2:00:00 PM GMT+2",79.0,16.0,93.0,47.0,,,True
E. Larsen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Svane,"August 16, 2024 at 2:00:00 PM GMT+2",89.0,89.0,91.0,52.0,,,True
F. Emmery,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",,"August 16, 2024 at 2:00:00 PM GMT+2",44.0,49.0,,,90.0,37.0,True
S. Stefánsson,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",F. Emmery,"August 16, 2024 at 2:00:00 PM GMT+2",71.0,75.0,87.0,44.0,,,True
K. Pedersen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",,"August 16, 2024 at 2:00:00 PM GMT+2",61.0,65.0,,,94.0,69.0,True
A. Cehobasic,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",C. Storch,"August 16, 2024 at 2:00:00 PM GMT+2",73.0,74.0,93.0,73.0,,,True
